종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
117460,2,KODEX 에너지화학,20270,5,-140,-0.69,20265.0,12.7312,6129,124,142,국내 업종/테마,KODEX,False,False,False
104530,2,KOSEF 고배당,8330,3,0,0.0,8333.0,-1.4202,1715,14,142,국내 업종/테마,KOSEF,False,False,False
241390,7,KBSTAR V&S셀렉트밸류채권혼합,11790,5,-20,-0.17,11783.0,2.1537,1016,11,141,기타,KBSTAR,False,False,False
140700,2,KODEX 보험,7440,2,90,1.22,7434.0,-4.916,3006,22,141,국내 업종/테마,KODEX,False,False,False
217780,4,TIGER 차이나CSI300인버스(합성),8545,2,65,0.77,8528.0,7.9567,768,6,141,해외 주식,TIGER,True,False,False
181480,7,ACE 미국다우존스리츠(합성 H),78195,2,45,0.06,78207.0,4.0543,15,1,141,기타,ACE,False,False,True
453950,4,TIGER TSMC밸류체인FACTSET,11010,2,15,0.14,11023.0,17.3425,10126,111,138,해외 주식,TIGER,False,False,False
195970,4,ARIRANG 선진국MSCI(합성 H),11245,5,-165,-1.45,11291.0,3.633,5553,62,137,해외 주식,ARIRANG,False,False,True
300610,2,TIGER K게임,8050,2,30,0.37,8074.0,-13.7635,10820,85,137,국내 업종/테마,TIGER,False,False,False
395280,2,HANARO Fn K-게임,4315,5,-60,-1.37,4351.0,-12.8487,1920,8,136,국내 업종/테마,HANARO,False,False,False
276000,4,TIGER 글로벌자원생산기업(합성 H),15680,5,-45,-0.29,15546.0,1.747,436,6,133,해외 주식,TIGER,False,False,True
245350,4,TIGER 유로스탁스배당30,11030,5,-15,-0.14,11034.0,-0.7816,562,6,132,해외 주식,TIGER,False,False,False
225800,7,KOSEF 미국달러선물레버리지,11600,2,80,0.69,11624.0,-7.0593,1194,13,132,기타,KOSEF,False,True,False
253290,7,KBSTAR 헬스케어채권혼합,11015,5,-15,-0.14,11029.0,0.1816,1458,16,132,기타,KBSTAR,False,False,False
445690,2,BNK 주주가치액티브,11980,5,-55,-0.46,11960.0,3.7052,1169,13,132,국내 업종/테마,BNK,False,False,False
291130,4,ACE 멕시코MSCI(합성),14640,5,-135,-0.91,14557.0,3.4301,649,9,132,해외 주식,ACE,False,False,False
441800,1,TIMEFOLIO Korea플러스배당액티브,11255,5,-105,-0.92,11247.0,14.2052,3054,34,131,국내 시장지수,TIMEFOLIO,False,False,False
453080,4,KOSEF 미국나스닥100(H),13050,5,-75,-0.57,13092.0,18.6172,1014,13,131,해외 주식,KOSEF,False,False,True
213630,4,ARIRANG 미국다우존스고배당주(합성 H),15335,2,20,0.13,15314.0,0.229,132,2,130,해외 주식,ARIRANG,False,False,True
421320,2,ARIRANG 우주항공&UAM iSelect,10840,3,0,0.0,10861.0,4.5323,5976,64,130,국내 업종/테마,ARIRANG,False,False,False
463250,2,TIGER 스페이스테크iSelect,10820,2,20,0.19,10832.0,,283951,3075,130,국내 업종/테마,TIGER,False,False,False
449770,4,KOSEF 미국S&P500,11740,5,-10,-0.09,11763.0,6.9932,63,0,129,해외 주식,KOSEF,False,False,False
423170,4,SOL 한국형글로벌반도체액티브,12810,5,-5,-0.04,12852.0,25.2076,15386,197,128,해외 주식,SOL,False,False,False
419420,4,KODEX 미국클린에너지나스닥,9145,5,-180,-1.93,9179.0,16.6937,10045,91,128,해외 주식,KODEX,False,False,False
223190,2,KODEX 200가치저변동,9840,5,-70,-0.71,9857.0,4.1513,2379,23,128,국내 업종/테마,KODEX,False,False,False
401590,4,HANARO 글로벌탄소배출권선물ICE(합성),11005,5,-350,-3.08,11035.0,-6.0795,10054,110,127,해외 주식,HANARO,False,False,False
289040,2,KODEX MSCI KOREA ESG유니버설,10465,5,-60,-0.57,10485.0,8.5611,3,0,126,국내 업종/테마,KODEX,False,False,False
138530,2,TIGER LG그룹+펀더멘털,8690,2,85,0.99,8709.0,-7.2738,3827,33,125,국내 업종/테마,TIGER,False,False,False
